Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
Keju Parmesan Keras,Susu,1.0,gram (g),0.5927051671732523,0.4001859888406696,0.2867978608130308,0.046754313886606405,0.49672813801308746,0.17,1.0,0.03909664885866926,0.0,0.01230769230769231,0.848966613672496,0.052752293577981654
Keju Krim,Susu,0.0,sdm,0.07446808510638298,0.07827030378177309,0.05566430144360166,0.015036976170912078,0.09432216273382248,0.04,0.030489510489510492,0.00473530840213696,0.0,0.00046153846153846153,0.022787493375728673,0.00974770642201835
Keju Krim Proses tanpa atau Bebas Lemak,Susu,0.0,sdm,0.019756838905775075,0.0030998140111593306,0.002446782481037436,0.0007395234182415776,0.0034371075418071256,0.0025,0.06293706293706294,0.010927634774162216,0.0,0.0009230769230769231,0.04504504504504505,0.014334862385321102
Keju Krim (Rendah Lemak),Susu,0.0,sdm,0.05015197568389058,0.0407625542467452,0.029064280471180395,0.0078060805258833195,0.04924317535858286,0.02,0.044475524475524476,0.012748907236522585,0.0,0.00046153846153846153,0.023317435082140965,0.014334862385321102
Margarin,Susu,0.0,sdm,0.11094224924012158,0.13096714197148174,0.025096997448355408,0.2900575184880854,0.19201533478749422,0.0,0.0025174825174825175,0.0,0.0,0.0,0.059353471118177,0.0022935779816513763
"Margarin (Minyak Nabati, 20% Lemak )",Susu,0.0,sdm,0.0364741641337386,0.04510229386236826,0.007515117620329266,0.09909613804437141,0.07416220503668453,0.0,0.0,0.0007285089849441476,0.0,0.0,0.058293587705352416,0.0022935779816513763
Mentega,Susu,0.0,sdm,0.1519756838905775,0.17839429634221948,0.1274773672620504,0.03549712407559573,0.19730319254412057,0.0775,0.0033566433566433566,0.00012141816415735795,0.0,0.00015384615384615385,0.0010598834128245894,0.0017201834862385322
Mentega (Asin),Susu,0.0,sdm,0.1519756838905775,0.17839429634221948,0.1274773672620504,0.03549712407559573,0.19730319254412057,0.0775,0.0033566433566433566,0.00012141816415735795,0.0,0.00015384615384615385,0.04345521992580816,0.0017201834862385322
Mentega Dikocok (Asin),Susu,0.0,sdm,0.09878419452887538,0.11794792312461254,0.08294592610716907,0.023253903040262938,0.1455482847511402,0.0525,0.0022377622377622378,0.00012141816415735795,0.0,0.00015384615384615385,0.041335453100158986,0.0011467889908256881
Susu,Susu,0.0,gelas,0.182370820668693,0.07548047117172971,0.05181935754482854,0.02046014790468365,0.08599378676713597,0.0425,0.2246153846153846,0.13950947061680427,0.0,0.1936923076923077,0.052994170641229466,0.20699541284403672
Susu Murni,Susu,1.0,ml,0.0911854103343465,0.05176689398636083,0.03360830507882135,0.016516023007395235,0.055324211778703156,0.025,0.09286713286713286,0.056580864497328805,0.0,0.08338461538461539,0.02172760996290408,0.08428899082568808
1% Lemak Susu,Susu,0.0,gelas,0.1519756838905775,0.036577805331680105,0.027001992380020268,0.006984387838948234,0.04468239804349264,0.03,0.22993006993006995,0.14788732394366197,0.0,0.19523076923076924,0.05670376258611553,0.20986238532110094
2% Lemak Susu,Susu,1.0,gram (g),0.0729483282674772,0.030378177309361442,0.02196861127617183,0.005998356614626129,0.037015004296384435,0.02,0.0923076923076923,0.05682370082564352,0.0,0.07784615384615384,0.02172760996290408,0.08600917431192662
Susu (tanpa Lemak),Susu,0.0,gelas,0.1276595744680851,0.006664600123992562,0.005015904086126743,0.0013968775677896468,0.007601295525150375,0.0125,0.23356643356643356,0.14424477901894125,0.0,0.19184615384615386,0.06730259671436142,0.23337155963302753
Susu Rendah Lemak,Susu,0.0,mangkok,0.1519756838905775,0.036577805331680105,0.027001992380020268,0.006984387838948234,0.04468239804349264,0.03,0.22993006993006995,0.14788732394366197,0.0,0.19523076923076924,0.05670376258611553,0.20986238532110094
Susu dengan Lemak yang telah Dikurangi,Susu,0.0,gelas,0.182370820668693,0.07439553626782393,0.05360201335244154,0.014626129827444535,0.09029017119439489,0.05,0.2251748251748252,0.13865954346770276,0.0,0.19,0.052994170641229466,0.20986238532110094
Yogurt Polos,Susu,1.0,gram (g),0.09270516717325228,0.02386856788592685,0.017477017721695968,0.0036154478225143795,0.0281578425540353,0.015,0.14685314685314685,0.08547838756677999,0.0,0.10830769230769231,0.03709591944886063,0.1341743119266055
Yogurt Polos Rendah Lemak,Susu,1.0,gram (g),0.09270516717325228,0.02386856788592685,0.017477017721695968,0.0036154478225143795,0.0281578425540353,0.015,0.14685314685314685,0.08547838756677999,0.0,0.10830769230769231,0.03709591944886063,0.1341743119266055
Yogurt Polos tanpa Lemak,Susu,1.0,gram (g),0.08206686930091185,0.002634841909485431,0.0020273340557167324,0.0004108463434675432,0.003238812875933638,0.005,0.1602797202797203,0.0932491500728509,0.0,0.11815384615384615,0.04080551139374669,0.14621559633027523
Yoghurt Vanila (Rendah Lemak),Susu,0.0,mangkok (240 ml),0.3130699088145897,0.04727216367017979,0.034517110000349537,0.007230895645028759,0.055522506444576646,0.03,0.3379020979020979,0.4105148130160272,0.0,0.5201538461538462,0.08585055643879173,0.3079128440366973
Yogurt Polos (Rendah Lemak ),Susu,1.0,gram (g),0.09270516717325228,0.02386856788592685,0.017477017721695968,0.0036154478225143795,0.0281578425540353,0.015,0.14685314685314685,0.08547838756677999,0.0,0.10830769230769231,0.03709591944886063,0.1341743119266055
Makaroni,Karbohidrat,1.0,gram (g),0.23556231003039513,0.014104153750774956,0.003058478101296794,0.026047658175842234,0.008592768854517815,0.0,0.16111888111888112,0.37251092763477417,0.02168674698795181,0.008615384615384617,0.12294647588765237,0.025802752293577983
Makaroni Gandum,Karbohidrat,1.0,gram (g),0.1838905775075988,0.008214507129572227,0.001712747736726205,0.017419884963023827,0.0049573666468372005,0.0,0.14825174825174825,0.32030111704711023,0.033734939759036145,0.01230769230769231,0.12400635930047696,0.02522935779816514
Makaroni atau Mie dengan Keju,Karbohidrat,0.0,mangkok,0.7462006079027356,0.3538437693738376,0.1682162955713237,0.2940838126540674,0.5188049441470025,0.10250000000000001,0.5395804195804196,0.6331957260806217,0.032530120481927716,0.13415384615384618,0.5050344462109169,0.18807339449541285
Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju),Karbohidrat,0.0,mangkok,0.5835866261398176,0.17947923124612525,0.11568038029990561,0.07469186524239935,0.1899001916848437,0.065,0.4274125874125874,0.6591792132102963,0.03614457831325302,0.0376923076923077,0.41653418124006364,0.07568807339449542
Makanan Pembuka Makaroni dan Keju (Kalengan),Karbohidrat,0.0,porsi,0.3009118541033435,0.09283942963422195,0.03757558810164633,0.060723089564502876,0.09676779694626216,0.0375,0.23076923076923078,0.3413064594463332,0.014457831325301205,0.01876923076923077,0.5442501324854266,0.11754587155963303
Makaroni atau Mie dengan Keju (Campuran Kering),Karbohidrat,1.0,gram (g),0.3297872340425532,0.15576565406075638,0.04374497535740501,0.21840591618734592,0.2791327913279133,0.01,0.17482517482517482,0.31253035454103933,0.016867469879518072,0.04246153846153846,0.19342872284048757,0.04988532110091744
Makaroni Krim dengan Keju,Karbohidrat,1.0,gram (g),0.3130699088145897,0.1329820210787353,0.06454262644622322,0.1077239112571898,0.19413047789014476,0.04,0.22741258741258744,0.2924963574550753,0.016867469879518072,0.008,0.08850026497085321,0.034977064220183485
